label,role,source_path,sha256,size_bytes,tex_line,note
tab:benchmark_crps_models,Five-cutoff benchmark table,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/he2_publication_manifest_snapshot/he2_bayesian_publication_manifest.csv,30e15458d543e3663832fbfa1cc0695fb7d7e4bfd40d49f6ef44253b1e709579,169187,343,Frozen HE2 publication manifest snapshot
tab:components_23_31,Representative covariate-effects table,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/exal_m_t1_20221225/covariate_effects_summary.csv,b1e4e56d33b9bbd2d6de9162f5849e45dbbcd6f46c7d2a373c69b55f9980e2c1,2813,391,Representative 2022-12-25 exAL-M-T1 output
tab:gamma_sigma_intervals1,Appendix gamma summary,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/exal_m_t1_20221225/gamma_summary.csv,be31143918ad1b14454148121f375f21232b838c46d09bca6d1b92b149165cbc,2063,509,Supplementary appendix support
tab:gamma_sigma_intervals2,Appendix sigma summary,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/exal_m_t1_20221225/sigma_summary.csv,e0779c4a38624ecd3f4ea4a9358613c01a86751692a75c3da95dad1dbb2bd18c,2059,543,Supplementary appendix support
