label,filename,category,role,article_path,bundle_path,sha256,size_bytes,tex_line,source_class,current_model_output_wired,note
fig:sanlorenzo,usgs.png,Setup / Inputs,Study-setting figure,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/usgs.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/usgs.png,6a8ba17b657c8d91fe9fa66a10d37521536981827ff1ab525d3d8c1e2740d2f6,1634202,241,setup_support_v2_representative,True,Representative 2022-12-25 setup/support v2 figure
fig:covariates,precip_soilmoisture_climatePC1_faceted_labeled.png,Setup / Inputs,Covariate setup figure,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/precip_soilmoisture_climatePC1_faceted_labeled.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,82af64a5f8df2ca5e9a292acd85d972d82dd9d9fd5b57076a77daeba9d38e427,2271044,262,setup_support_v2_representative,True,Representative 2022-12-25 setup/support v2 figure
fig:retrospectives,retrospective_log_discharge_plot_faceted.png,Setup / Inputs,Retrospective-product setup figure,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/retrospective_log_discharge_plot_faceted.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,50b1278dd4ab7ca710bd9d5fcc92a9546487fcdff0e2891c31b8f91257a9f254,1913337,277,setup_support_v2_representative,True,Representative 2022-12-25 setup/support v2 figure
fig:ensembles,forecats.png,Setup / Inputs,Forecast-product setup figure,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/forecats.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/forecats.png,e67a5d3a1d9c9090064735aaf6a8b8699459ec85e160702fda8d9b111e013c47,682204,328,setup_support_v2_representative,True,Representative 2022-12-25 setup/support v2 figure
fig:dry_quantile,All_exal_2012-2016_DISC.png,Historical Summaries,Dry-period historical summary,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/All_exal_2012-2016_DISC.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/current_model_output_support/figures/All_exal_2012-2016_DISC.png,6b9fb30f2280a8770997286b45ec7f760cd22339c0287fb66a7ff32fd75ed426,3573507,368,current_model_output_support,True,Rendered from the current 2022-05-11 exAL-M-T1 full-history multivariate run
fig:rainy_quantile,All_exal_2017-2019_DISC.png,Historical Summaries,Rainy-period historical summary,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/All_exal_2017-2019_DISC.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/current_model_output_support/figures/All_exal_2017-2019_DISC.png,d1224fc5f732d7991bf4a9c8a9a0bb2cc6d5e655518ec738a19f0805b7407440,3870854,377,current_model_output_support,True,Rendered from the current 2022-05-11 exAL-M-T1 full-history multivariate run
fig:synth1,posterior_samples_valid.png,Selected Model,Representative selected-model synthesis,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/posterior_samples_valid.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/exal_m_t1_20221225/posterior_samples_valid.png,3fcfcc2186216b0a02901b6e0a53058cfa144ab5a2e3a6af3640fea3a974befe,528687,395,current_selected_model_representative,True,Verified representative 2022-12-25 exAL-M-T1 output
fig:80_components,80_component_1991_2022.png,Historical Summaries,Long-cycle component summary,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/80_component_1991_2022.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/current_model_output_support/figures/80_component_1991_2022.png,f05cfc5907f029b64d88ef2422e6abf559e23b845dd7dbb34febebf81d9c9eb7,1394727,460,current_model_output_support,True,Rendered from the current 2022-05-11 exAL-M-T1 full-history multivariate run
fig:synth2,posterior_samples_counter_valid.png,Appendix Support,Historical-only reference synthesis,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/DISC/posterior_samples_counter_valid.png,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/current_model_output_support/figures/posterior_samples_counter_valid.png,309f78249508ee938766120576dcaa7f6565afbc62a11b357f9af66cb97e1f26,511899,474,current_model_output_support,True,Copied from the current 2022-12-25 exdqlm_univar publication-style output bundle
