cutoff_dir,cutoff_date,published_crps,bundle_class,panel_path,support_start,support_end,retrospective_available_start
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2_appendix/20210123_exal_m_t1_panel.png,1987-05-29,2021-01-23,2018-02-08
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2_appendix/20211112_exal_m_t1_panel.png,1987-05-29,2021-11-12,2018-11-28
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2_appendix/20211221_exal_m_t1_panel.png,1987-05-29,2021-12-21,1987-05-29
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2_appendix/20220511_exal_m_t1_panel.png,1987-05-29,2022-05-11,1987-05-29
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-2/generated/setup_support_by_cutoff_v2_appendix/20221225_exal_m_t1_panel.png,1987-05-29,2022-12-25,1987-05-29
