"model_id","date","segment","observed","q05","q20","q35","q50","q65","q80","q95"
"exdqlm_multivar_synth_keep","2022-12-07","history","0.838935139640658","0.00618308127809085","0.155953027440856","0.259379145893396","5.85980222416950","14.7923373571387","44.6910072581856","726795406259.918"
"exdqlm_multivar_synth_keep","2022-12-08","history","0.711181866340651","0.00000000000109313693133868","0.154957023234049","0.270894415208919","6.26111863015402","15.8102543243348","44.2824658467034","769039965973.058"
"exdqlm_multivar_synth_keep","2022-12-09","history","0.858326239414229","0.0133958068164947","0.179471029463445","0.605727325406126","7.18424148934663","16.5980175940231","2815533420.13254","945320115593.462"
"exdqlm_multivar_synth_keep","2022-12-10","history","3.07468120656944","0.00000000000142209201571677","0.185102324035110","0.301449738339169","18.1652238999976","23.8715593180297","54.7109523176065","708104627347.523"
"exdqlm_multivar_synth_keep","2022-12-11","history","2.85131346417791","0.00107998275694899","0.356576051004456","0.411208500835361","34.2584953692766","41.4864592227437","82.6197780599390","21725124997.1279"
"exdqlm_multivar_synth_keep","2022-12-12","history","2.38976195137421","0.0000000000179612631120813","0.351185253023627","0.444799215553438","37.1078184595331","59.2776737965066","80.2597330006741","143286251622.795"
"exdqlm_multivar_synth_keep","2022-12-13","history","1.61925141487718","0.00000000000441388661362888","0.343913893761184","3.08034304078069","25.5855758856066","55.2173743063883","2205860117.43432","514798742747.440"
"exdqlm_multivar_synth_keep","2022-12-14","history","1.26012514865163","0.00834123858761201","0.302256221994728","1.62700410558606","12.2442195772862","31.3132734706528","89.3462798130487","1738783413735.23"
"exdqlm_multivar_synth_keep","2022-12-15","history","1.06277681214400","0.000000000000545495091403520","0.274203081550410","0.548902557227682","8.77272970941208","22.2545442915065","1977399391.04806","2429743191962.22"
"exdqlm_multivar_synth_keep","2022-12-16","history","0.939001504061878","0.00162026771888832","0.282890361900270","0.468316391150962","7.97265883591225","21.4709864507828","2539324030.04782","1545006847330.17"
"exdqlm_multivar_synth_keep","2022-12-17","history","0.854718934326879","0.00658384235473003","0.280127486403735","0.788255123556185","8.31325332331434","23.8867745586637","89.6656379358633","1009995176403.36"
"exdqlm_multivar_synth_keep","2022-12-18","history","0.787458048118069","0.00000000000169548248454275","0.253098578098435","0.599483984868039","8.66358256319809","26.7573357970293","3778151846.00421","758571097257.693"
"exdqlm_multivar_synth_keep","2022-12-19","history","0.730462315212770","0.00778702815712709","0.256448722580718","0.450389533927057","8.17891556110122","23.1907583595660","92.4325979551051","550832821392.001"
"exdqlm_multivar_synth_keep","2022-12-20","history","0.687258851497442","0.00489287425450517","0.262365902354249","0.434057167879024","7.51045487322764","18.2222136199382","89.8033880000180","463033302019.786"
"exdqlm_multivar_synth_keep","2022-12-21","history","0.655425003626598","0.0220666241764063","0.257889202466432","0.443887213794747","7.41815982106099","18.7811423773504","92.7669669960369","538628917320.816"
"exdqlm_multivar_synth_keep","2022-12-22","history","0.631619551074155","0.00000000000556964953871103","0.258141380878725","0.432724796203107","6.23911274537057","16.5026322255586","414144078.133425","345330866408.879"
"exdqlm_multivar_synth_keep","2022-12-23","history","0.610314520931517","0.000405512123410799","0.236603159661436","0.422041076103128","6.55524546261824","17.5283192250387","229845301.009826","233836985067.861"
"exdqlm_multivar_synth_keep","2022-12-24","history","0.585396805606396","0.0100868959768589","0.247435849177267","0.422167543742890","6.46834644877582","16.8045949502554","88.9758432001456","239836841796.341"
"exdqlm_multivar_synth_keep","2022-12-25","history","0.569501925984288","0.00279120085043422","0.246611731245843","0.584336209498287","6.73668698803736","17.7304547070361","401318964.471217","202008334030.211"
"exdqlm_multivar_synth_keep","2022-12-26","forecast","0.564683774756493","0.0000000000128167336409814","0.219359892770919","0.374536543009158","6.68268424989587","17.4032623990413","176997323.740919","146899790933.328"
"exdqlm_multivar_synth_keep","2022-12-27","forecast","3.15146636258413","0.00532362463964317","0.300913049391936","0.461834340423256","7.69886634714236","30.0035008456042","85981193.2175753","20987571191.5541"
"exdqlm_multivar_synth_keep","2022-12-28","forecast","2.22662362649430","0.0000000000392532736329050","0.300521198662724","0.808417909293551","6.71160301593536","19.2733190808446","157127540.955042","60536491561.0212"
"exdqlm_multivar_synth_keep","2022-12-29","forecast","1.75536292409140","0.0102127332324153","0.312016856515453","1.17949893700366","7.26257257627736","15.7257722900987","120.476826316446","120946691278.143"
"exdqlm_multivar_synth_keep","2022-12-30","forecast","2.74437307549665","0.00000000000624654125115382","0.275971904199902","0.411822485661622","7.34305843481914","11.0452632551913","1225885725.01898","456871979466.204"
"exdqlm_multivar_synth_keep","2022-12-31","forecast","5.22981641170739","0.0000000000120627841412068","0.386030556295559","0.439223330618580","10.6456715050413","18.2264858171791","257962899.883924","274130593113.780"
"exdqlm_multivar_synth_keep","2023-01-01","forecast","3.81677670514748","0.00401402018462367","0.417951863850261","1.41393024908813","15.3267301678240","26.0504568542397","405846703.495229","629989848505.217"
"exdqlm_multivar_synth_keep","2023-01-02","forecast","2.98006613573275","0.000434634981009454","0.337896606216624","0.937866863508421","13.6147501642072","15.1142911726032","15656272592.5340","5675537086917.99"
"exdqlm_multivar_synth_keep","2023-01-03","forecast","2.79061877234100","0.0123388485344916","0.318230253989583","1.81044647279930","13.4900950256524","16.3938644030010","22861277598.1341","9673412567684.01"
"exdqlm_multivar_synth_keep","2023-01-04","forecast","3.42532687410412","0.0000000000000777547002715280","0.270837823430005","0.410808543085735","12.3544899597852","12.6285328351801","130.671541942152","33050620194037.5"
"exdqlm_multivar_synth_keep","2023-01-05","forecast","4.25385619173112","0.000000000000105923659408445","0.305131353959651","0.408489091891516","12.7602781478368","13.8268727389704","147.478004804139","30162339140542.0"
"exdqlm_multivar_synth_keep","2023-01-06","forecast","3.38777487031637","0.00387910833033248","0.286620876355002","0.549381312638474","12.9182481890683","13.7555289635778","141.096930862380","68563329262020.3"
"exdqlm_multivar_synth_keep","2023-01-07","forecast","3.04682109819703","0.0117690279017259","0.254352660158168","0.383696749491412","12.3200721167580","16.3659770946802","129381434299.617","136078436601645."
"exdqlm_multivar_synth_keep","2023-01-08","forecast","4.04918199321094","0.0000000000000253080175657484","0.283766226457080","0.407910070026992","12.5722124761355","19.9988738416608","139.227644757110","122332384298150."
"exdqlm_multivar_synth_keep","2023-01-09","forecast","5.36438371043544","0.0108572695073878","0.290635753297121","1.01729303391318","12.7218548639394","20.2997474309948","57265371727.0641","259666077850588."
"exdqlm_multivar_synth_keep","2023-01-10","forecast","4.08792185509188","0.0000000000000108112886260020","0.314201538180155","1.35375338779689","13.1872199161742","17.6844842100797","5505497554.36234","502629952492826."
"exdqlm_multivar_synth_keep","2023-01-11","forecast","3.99854633136357","0.0220484872720782","0.289339828284162","0.418448825662256","12.3741543286354","20.7121592670589","125.587269136824","826728853503844."
"exdqlm_multivar_synth_keep","2023-01-12","forecast","3.87720656271899","0.00000000000000233995949639514","0.268673484291038","0.398791900204529","11.1753655514121","13.5590187762870","140.544862414744","1427323450277514."
"exdqlm_multivar_synth_keep","2023-01-13","forecast","3.97755165266655","0.00759845353324998","0.294728465101340","1.03498499432509","11.3129606212714","15.0450150382940","139.910092070873","2904125512223172."
"exdqlm_multivar_synth_keep","2023-01-14","forecast","5.11080665260834","0.000000000000000893600068400092","0.294114400828699","0.682163748810877","11.5509972524929","22.8189133677206","10792751148989.9","4173218695896275."
"exdqlm_multivar_synth_keep","2023-01-15","forecast","4.24577636694165","0.0124005554366431","0.294918725470452","0.412321991369321","10.5874832036523","14.7940074117252","146.654647516477","12947063687992194."
"exdqlm_multivar_synth_keep","2023-01-16","forecast","4.46686414041667","0.000000000000000218065694138397","0.296892369475718","0.406710468185366","10.7752923118009","20.3458225079346","2536169913830.98","14305604771763292."
"exdqlm_multivar_synth_keep","2023-01-17","forecast","3.81052791373946","0.00755009118662898","0.283774446149785","0.763617948945110","9.59484064692083","17.8068337870236","130.674380126541","74051437875492512."
"exdqlm_multivar_synth_keep","2023-01-18","forecast","3.43449860260206","0.0000000000000000514605208259643","0.254962408188542","0.371384692682914","8.42089624782220","14.0480126857141","100469851731658.","87952021107899728."
"exdqlm_multivar_synth_keep","2023-01-19","forecast","3.24066494844799","0.00119675040377592","0.258568493064442","0.388277527148260","8.48513586290691","19.4481217537167","347675887845618.","94864226002742016."
"exdqlm_multivar_synth_keep","2023-01-20","forecast","3.03191192892286","0.000102681750807375","0.266767399522348","0.555829071205930","8.44861348194803","18.5717912231856","28260934364135.2","65905338309277280."
"exdqlm_multivar_synth_keep","2023-01-21","forecast","2.86914749462559","0.0000000000000000697987383944348","0.249501146120913","0.372150016800921","8.48990311133957","12.9142897738906","124.596452544427","64690597191850240."
"exdqlm_multivar_synth_keep","2023-01-22","forecast","2.74981956702523","0.0000732273689549184","0.238994757639453","0.370720612750381","8.78529274057696","17.1508864318731","82657279834406.9","43085713814375432."
