"USGS","GloFAS","NWS3.0","PPT","SOIL","PCA","PPT_sq","SOIL_sq","PPT_x_SOIL","PPT_lag1","PPT_lag2","PPT_lag3","SOIL_lag1","SOIL_lag2","SOIL_lag3","intercept"
-0.72513706554659,-1.30219693545897,-0.911682730539402,0,1.86983889625366,1.32735552821743,0,0.640135044970893,0,0,0,0,0,0,0,1
-0.72513706554659,-1.30219693545897,-0.937823765283372,0,1.84202128327907,1.32820869846409,0,0.621230131516274,0,0,0,0,1.86977605591806,0,0,1
-0.72513706554659,-1.30219693545897,-0.962713707189291,0,1.82216138303737,1.33008354955103,0,0.607906659840363,0,0,0,0,1.84195937781982,1.8697118534627,0,1
-0.72513706554659,-1.30219693545897,-0.987718940281273,0,1.79438143751927,1.3330268649605,0,0.589512149744464,0,0,0,0,1.82210014501679,1.84189613050505,1.86964931776562,1
-0.72513706554659,-1.30219693545897,-1.01601288581151,0,1.73998755760941,1.33706756853641,0,0.554313569098008,0,0,0,0,1.79432113310912,1.82203757960803,1.8418345251522,1
-0.72513706554659,-1.30219693545897,-1.04045405895164,0,1.69808083661829,1.3421631455693,0,0.527934381465403,0,0,0,0,1.73992908123358,1.79425952154762,1.82197663845823,1
-0.72513706554659,-1.39498738054593,-1.06744750726615,0,1.68112717351931,1.34825322171142,0,0.51744519758024,0,0,0,0,1.69802376861642,1.73986933733065,1.79419950948228,1
-0.72513706554659,-1.39498738054593,-1.09545710018259,0,1.66870121548996,1.355277422615,0,0.509824132582675,0,0,0,0,1.68107067528517,1.6979654636152,1.73981114443765,1
-0.72513706554659,-1.39498738054593,-1.12085504321532,0,1.65371982250668,1.36317537393227,0,0.500710949634501,0,0,0,0,1.66864513485938,1.68101295240191,1.69790867226862,1
-0.72513706554659,-1.39498738054593,-1.14713819269548,0,1.63903437564229,1.37188670131546,0,0.491857557451616,0,0,0,0,1.65366424536106,1.6685878386316,1.68095672806094,1
-0.801312227552921,-1.39498738054593,-1.17436421547134,0,1.63063036115098,1.38135103041681,0,0.486826569925833,0,0,0,0,1.63897929203567,1.65360746353172,1.66853202986972,1
-0.934000628458732,-1.39498738054593,-1.2005450718487,0,1.62873105645925,1.39150798688855,0,0.48569315119422,0,0,0,0,1.63057555998104,1.63892301444322,1.65355215581399,1
-0.934000628458732,-1.39498738054593,-1.22764920724188,0,1.62630638413286,1.4022971963829,0,0.484248136483062,0,0,0,0,1.62867631911991,1.63051957094733,1.6388681978719,1
-0.886942871985846,-1.39498738054593,-1.25573777343785,0.008521467863577,1.61882398739819,1.4136582845521,9.27195120627749e-06,0.479802477915141,0.00323040181918581,0,0,0,1.62625172828033,1.62862039530039,1.6304650354435,1
-0.886942871985846,-1.39498738054593,-1.28145975147956,0,1.6070587415158,1.42553087704838,0,0.472853629983051,0,0.00852115892627202,0,0,1.61876958300921,1.62619588771393,1.62856592331772,1
-0.934000628458732,-1.39498738054593,-1.30923283642604,0,1.59024829940721,1.43785459952398,0,0.463012913859099,0,0,0.00852084997805508,0,1.60700473252559,1.61871399935705,1.62614149682304,1
-0.886942871985846,-1.39498738054593,-1.33680074625416,0.008521467863577,1.59472718776742,1.45056907763113,9.27195120627749e-06,0.465624711685172,0.00318231608165674,0,0,0.00852054101892506,1.59019485537147,1.60694955284282,1.61865985871066,1
-0.886942871985846,-1.39498738054593,-1.36409955262647,0.0670962168929002,1.61740753481421,1.46361393702205,0.000574828621685496,0.478963201828114,0.0254132378093859,0.00852115892627202,0,0,1.5946735932081,1.59014025288904,1.60689580567838,1
-0.934000628458732,-1.49993998675951,-1.39106052871594,0,1.62157235461037,1.47692880334899,0,0.481433035407939,0,0.0670937843865817,0.00852084997805508,0,1.61735317802846,1.59461883693936,1.59008706794026,1
-0.934000628458732,-1.49993998675951,-1.41761016076267,0,1.60712091551023,1.49045330226417,0,0.472890218275558,0,0,0.0670913517943447,0.00852054101892506,1.62151785785605,1.61729764301136,1.59456550219671,1
-0.934000628458732,-1.49993998675951,-1.44227748460072,0,1.59552254623472,1.50412705941981,0,0.466089281313984,0,0,0,0.0670889191161805,1.60706690443052,1.62146217983644,1.61724354973742,1
-0.984360154252811,-1.49993998675951,-1.466286183461,0,1.58946827061723,1.51788970046817,0,0.462558802603151,0,0,0,0,1.5954689249455,1.60701172261295,1.62140794727247,1
-0.984360154252811,-1.49993998675951,-1.49994000679303,0,1.58521423934284,1.53168085106147,0,0.460086143748523,0,0,0,0,1.58941485279619,1.59541414136748,1.60695797336913,1
-1.03846329778535,-1.49993998675951,-1.52573684100139,0,1.58526518117404,1.54544013685193,0,0.460115714524112,0,0,0,0,1.58516096448852,1.5893602770967,1.59536078002451,1
-1.03846329778535,-1.49993998675951,-1.54760717523638,0,1.58298566732073,1.55910718349179,0,0.458793429679893,0,0,0,0,1.58521190460771,1.58510653485469,1.58930711823553,1
-0.984360154252811,-1.49993998675951,-1.57496805711732,0,1.56259714412432,1.57262161663329,0,0.44705121227282,0,0,0,0,1.58293246736282,1.58515747322474,1.58505351826718,1
-1.03846329778535,-1.49993998675951,-1.60835828237009,0,1.5465336059607,1.58592306192866,0,0.437907060623687,0,0,0,0,1.56254462937071,1.58287811424884,1.58510445493351,1
-1.03846329778535,-1.55796198146571,-1.62905469477672,0,1.53217001250077,1.59895114503012,0,0.429810618585914,0,0,0,0,1.54648163106008,1.56249097631343,1.58282517219465,1
-1.03846329778535,-1.55796198146571,-1.65747149530389,0,1.52067621492673,1.61164549158991,0,0.423386231536792,0,0,0,0,1.53211852032251,1.54642852955759,1.56243871614179,1
-1.03846329778535,-1.55796198146571,-1.69063322158136,0,1.51249226181519,1.62394572726026,0,0.418841346620133,0,0,0,0,1.52062510902458,1.5320659120058,1.54637680662183,1
-0.984360154252811,-1.55796198146571,-1.70388997246329,0,1.51182700705675,1.6357914776934,0,0.418472981203379,0,0,0,0,1.51244143095403,1.52057289535686,1.53201466945226,1
-0.984360154252811,-1.55796198146571,-1.74896838616083,0,1.51458519259342,1.64712236854158,0,0.420001302905671,0,0,0,0,1.51177619855305,1.51238949828907,1.52052203720682,1
-0.984360154252811,-1.55796198146571,-1.76317600865669,0,1.51545212010076,1.65787802545701,0,0.420482246322174,0,0,0,0,1.5145342913944,1.51172428873015,1.51233891384669,1
-0.984360154252811,-1.55796198146571,-1.79869686701395,0,1.51318750828218,1.66799807409192,0,0.419226492251917,0,0,0,0,1.51540118976661,1.51448228686694,1.51167372653684,1
-1.03846329778535,-1.62036871998139,-1.81811530150702,0,1.50766888553976,1.67743814604526,0,0.416174214782311,0,0,0,0,1.51313665405563,1.51534915547248,1.51443163242768,1
-1.03846329778535,-1.62036871998139,-1.85148561683575,0,1.50209216886219,1.68621789670276,0,0.41310113508377,0,0,0,0,1.50761821677951,1.51308469751881,1.51529847203932,1
-1.03846329778535,-1.62036871998139,-1.86982473520679,0,1.4980731359119,1.69437298739685,0,0.410893486334426,0,0,0,0,1.50204168752064,1.50756644972914,1.51303408982431,1
-1.0968443400185,-1.62036871998139,-1.90770917272721,0,1.49562070172751,1.70193907945997,0,0.40954927371289,0,0,0,0,1.4980227896394,1.50199011195141,1.50751602660183,1
-1.0968443400185,-1.62036871998139,-1.91989463383106,0,1.49304261917175,1.70895183422457,0,0.408138566008034,0,0,0,0,1.49557043787484,1.49797135206697,1.50193987533421,1
-1.0968443400185,-1.62036871998139,-1.96781473617968,0,1.48684425418762,1.71544691302306,0,0.404756826532275,0,0,0,0,1.4929924419616,1.49551908450875,1.49792124986405,1
