manuscript_label,local_bundle_file,article_disc_file,sha256,workflow_gold_manifest,workflow_repo_map_ref,workflow_reproduce_ref,workflow_script_ref,role,rerun_status
fig:dry_quantile,figures/All_exal_2012-2016_DISC.png,DISC/All_exal_2012-2016_DISC.png,48208f532cb34f2639260c7c398f637c929a512f206ed3e64582b9cb0697f3f3,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/gold_DISC_figures.sha256,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPO_MAP.md:82,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPRODUCE_PAPER.md:94,/data/muscat_data/jaguir26/project1_ucsc_phd/R/environmetrics/40_figures.R:7493,historical summary of fitted specification,not rerun in narrow exAL-M-T1 cycle
fig:rainy_quantile,figures/All_exal_2017-2019_DISC.png,DISC/All_exal_2017-2019_DISC.png,1c2c2f35843a249efd18586d9b49021f4ad9290aae19f416e22f359a4705d1c8,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/gold_DISC_figures.sha256,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPO_MAP.md:83,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPRODUCE_PAPER.md:95,/data/muscat_data/jaguir26/project1_ucsc_phd/R/environmetrics/40_figures.R:7331,historical summary of fitted specification,not rerun in narrow exAL-M-T1 cycle
fig:80_components,figures/80_component_1991_2022.png,DISC/80_component_1991_2022.png,f7fefd1c5e9709a63710dd01682b9e5019a74ea05664336356c6bba01c677d13,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/gold_DISC_figures.sha256,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPO_MAP.md:81,/data/muscat_data/jaguir26/project1_ucsc_phd/repro/REPRODUCE_PAPER.md:93,/data/muscat_data/jaguir26/project1_ucsc_phd/R/environmetrics/40_figures.R:7869,historical summary of fitted specification,not rerun in narrow exAL-M-T1 cycle
